"ï»¿""Plot Title: Datalogger_2""",,
#,"Date Time, GMT-04:00","Temp, Â°C (LGR S/N: 1021045, SEN S/N: 1021045)"
1,9/17/11 15:00,9.41
2,9/17/11 15:30,8.767
3,9/17/11 16:00,8.767
4,9/17/11 16:30,8.767
5,9/17/11 17:00,8.792
6,9/17/11 17:30,8.817
7,9/17/11 18:00,8.841
8,9/17/11 18:30,8.866
9,9/17/11 19:00,8.866
10,9/17/11 19:30,8.891
11,9/17/11 20:00,8.891
12,9/17/11 20:30,8.891
13,9/17/11 21:00,8.916
14,9/17/11 21:30,8.916
15,9/17/11 22:00,8.916
16,9/17/11 22:30,8.916
17,9/17/11 23:00,8.941
18,9/17/11 23:30,8.941
19,9/18/11 0:00,8.941
20,9/18/11 0:30,8.941
21,9/18/11 1:00,8.941
22,9/18/11 1:30,8.941
23,9/18/11 2:00,8.941
24,9/18/11 2:30,8.941
25,9/18/11 3:00,8.916
26,9/18/11 3:30,8.916
27,9/18/11 4:00,8.891
28,9/18/11 4:30,8.891
29,9/18/11 5:00,8.891
30,9/18/11 5:30,8.866
31,9/18/11 6:00,8.866
32,9/18/11 6:30,8.841
33,9/18/11 7:00,8.841
34,9/18/11 7:30,8.817
35,9/18/11 8:00,8.792
36,9/18/11 8:30,8.767
37,9/18/11 9:00,8.742
38,9/18/11 9:30,8.742
39,9/18/11 10:00,8.717
40,9/18/11 10:30,8.693
41,9/18/11 11:00,8.668
42,9/18/11 11:30,8.668
43,9/18/11 12:00,8.643
44,9/18/11 12:30,8.618
45,9/18/11 13:00,8.593
46,9/18/11 13:30,8.568
47,9/18/11 14:00,8.568
48,9/18/11 14:30,8.543
49,9/18/11 15:00,8.543
50,9/18/11 15:30,8.568
51,9/18/11 16:00,8.568
52,9/18/11 16:30,8.593
53,9/18/11 17:00,8.593
54,9/18/11 17:30,8.618
55,9/18/11 18:00,8.618
56,9/18/11 18:30,8.618
57,9/18/11 19:00,8.618
58,9/18/11 19:30,8.618
59,9/18/11 20:00,8.643
60,9/18/11 20:30,8.668
61,9/18/11 21:00,8.668
62,9/18/11 21:30,8.668
63,9/18/11 22:00,8.668
64,9/18/11 22:30,8.668
65,9/18/11 23:00,8.668
66,9/18/11 23:30,8.643
67,9/19/11 0:00,8.643
68,9/19/11 0:30,8.643
69,9/19/11 1:00,8.643
70,9/19/11 1:30,8.643
71,9/19/11 2:00,8.643
72,9/19/11 2:30,8.668
73,9/19/11 3:00,8.668
74,9/19/11 3:30,8.668
75,9/19/11 4:00,8.668
76,9/19/11 4:30,8.668
77,9/19/11 5:00,8.668
78,9/19/11 5:30,8.668
79,9/19/11 6:00,8.693
