"ï»¿""Plot Title: Datalogger_2""",,
Date,Time,"Temp, Â°C (LGR S/N: 1021045, SEN S/N: 1021045)"
9/17/2011,11:00,9.41
9/17/2011,11:30,8.767
9/17/2011,12:00,8.767
9/17/2011,12:30,8.767
9/17/2011,13:00,8.792
9/17/2011,13:30,8.817
9/17/2011,14:00,8.841
9/17/2011,14:30,8.866
9/17/2011,15:00,8.866
9/17/2011,15:30,8.891
9/17/2011,16:00,8.891
9/17/2011,16:30,8.891
9/17/2011,17:00,8.916
9/17/2011,17:30,8.916
9/17/2011,18:00,8.916
9/17/2011,18:30,8.916
9/17/2011,19:00,8.941
9/17/2011,19:30,8.941
9/17/2011,20:00,8.941
9/17/2011,20:30,8.941
9/17/2011,21:00,8.941
9/17/2011,21:30,8.941
9/17/2011,22:00,8.941
9/17/2011,22:30,8.941
9/17/2011,23:00,8.916
9/17/2011,23:30,8.916
9/18/2011,0:00,8.891
9/18/2011,0:30,8.891
9/18/2011,1:00,8.891
9/18/2011,1:30,8.866
9/18/2011,2:00,8.866
9/18/2011,2:30,8.841
9/18/2011,3:00,8.841
9/18/2011,3:30,8.817
9/18/2011,4:00,8.792
9/18/2011,4:30,8.767
9/18/2011,5:00,8.742
9/18/2011,5:30,8.742
9/18/2011,6:00,8.717
9/18/2011,6:30,8.693
9/18/2011,7:00,8.668
9/18/2011,7:30,8.668
9/18/2011,8:00,8.643
9/18/2011,8:30,8.618
9/18/2011,9:00,8.593
9/18/2011,9:30,8.568
9/18/2011,10:00,8.568
9/18/2011,10:30,8.543
9/18/2011,11:00,8.543
9/18/2011,11:30,8.568
9/18/2011,12:00,8.568
9/18/2011,12:30,8.593
9/18/2011,13:00,8.593
9/18/2011,13:30,8.618
9/18/2011,14:00,8.618
9/18/2011,14:30,8.618
9/18/2011,15:00,8.618
9/18/2011,15:30,8.618
9/18/2011,16:00,8.643
9/18/2011,16:30,8.668
9/18/2011,17:00,8.668
9/18/2011,17:30,8.668
9/18/2011,18:00,8.668
9/18/2011,18:30,8.668
9/18/2011,19:00,8.668
9/18/2011,19:30,8.643
9/18/2011,20:00,8.643
9/18/2011,20:30,8.643
9/18/2011,21:00,8.643
9/18/2011,21:30,8.643
9/18/2011,22:00,8.643
9/18/2011,22:30,8.668
9/18/2011,23:00,8.668
9/18/2011,23:30,8.668
9/19/2011,0:00,8.668
9/19/2011,0:30,8.668
9/19/2011,1:00,8.668
9/19/2011,1:30,8.668
9/19/2011,2:00,8.693
9/19/2011,2:30,8.693
9/19/2011,3:00,8.693
9/19/2011,3:30,8.693
9/19/2011,4:00,8.693
9/19/2011,4:30,8.693
9/19/2011,5:00,8.717
9/19/2011,5:30,8.717
9/19/2011,6:00,8.742
9/19/2011,6:30,8.742
9/19/2011,7:00,8.742
9/19/2011,7:30,8.742
9/19/2011,8:00,8.767
9/19/2011,8:30,8.767
9/19/2011,9:00,8.792
9/19/2011,9:30,8.792
9/19/2011,10:00,8.817
9/19/2011,10:30,8.841
9/19/2011,11:00,8.841
9/19/2011,11:30,8.866
9/19/2011,12:00,8.866
9/19/2011,12:30,8.891
9/19/2011,13:00,8.891
9/19/2011,13:30,8.891
9/19/2011,14:00,8.891
9/19/2011,14:30,8.916
9/19/2011,15:00,8.916
9/19/2011,15:30,8.916
9/19/2011,16:00,8.916
9/19/2011,16:30,8.916
9/19/2011,17:00,8.916
