"ï»¿""Plot Title: Experiment""",,
"Date Time, GMT-04:00",Time,"Temp, Â°C (LGR S/N: 9775266, SEN S/N: 9775266)"
9/18/2011,19:41,9.829
9/18/2011,20:11,9.829
9/18/2011,20:41,9.829
9/18/2011,21:11,9.829
9/18/2011,21:41,9.829
9/18/2011,22:11,9.829
9/18/2011,22:41,9.854
9/18/2011,23:11,9.854
9/18/2011,23:41,9.854
9/19/2011,0:11,9.854
9/19/2011,0:41,9.854
9/19/2011,1:11,9.829
9/19/2011,1:41,9.829
9/19/2011,2:11,9.829
9/19/2011,2:41,9.829
9/19/2011,3:11,9.829
9/19/2011,3:41,9.829
9/19/2011,4:11,9.829
9/19/2011,4:41,9.854
9/19/2011,5:11,9.854
9/19/2011,5:41,9.879
9/19/2011,6:11,9.879
9/19/2011,6:41,9.879
9/19/2011,7:11,9.879
9/19/2011,7:41,9.903
9/19/2011,8:11,9.903
9/19/2011,8:41,9.879
9/19/2011,9:11,9.879
9/19/2011,9:41,9.854
9/19/2011,10:11,9.805
9/19/2011,10:41,9.78
9/19/2011,11:11,9.756
9/19/2011,11:41,9.731
9/19/2011,12:11,9.682
9/19/2011,12:41,9.657
9/19/2011,13:11,9.632
9/19/2011,13:41,9.583
9/19/2011,14:11,9.534
9/19/2011,14:41,9.485
9/19/2011,15:11,9.485
9/19/2011,15:41,9.485
9/19/2011,16:11,9.435
9/19/2011,16:41,9.386
9/19/2011,17:11,9.336
9/19/2011,17:41,9.312
9/19/2011,18:11,9.262
9/19/2011,18:41,9.213
9/19/2011,19:11,9.139
9/19/2011,19:41,9.114
9/19/2011,20:11,9.064
9/19/2011,20:41,9.04
9/19/2011,21:11,8.99
9/19/2011,21:42,8.965
9/19/2011,22:12,8.916
9/19/2011,22:42,8.916
9/19/2011,23:12,8.891
9/19/2011,23:42,8.916
9/20/2011,0:12,8.941
9/20/2011,0:42,8.965
9/20/2011,1:12,8.99
9/20/2011,1:42,8.99
9/20/2011,2:12,8.99
9/20/2011,2:42,8.99
9/20/2011,3:12,8.965
9/20/2011,3:42,8.965
9/20/2011,4:12,8.965
9/20/2011,4:42,8.965
9/20/2011,5:12,8.965
9/20/2011,5:42,8.965
9/20/2011,6:12,8.965
9/20/2011,6:42,8.965
9/20/2011,7:12,8.965
9/20/2011,7:42,8.941
9/20/2011,8:12,8.941
9/20/2011,8:42,8.916
9/20/2011,9:12,8.916
9/20/2011,9:42,8.891
9/20/2011,10:12,8.891
9/20/2011,10:42,8.891
9/20/2011,11:12,8.916
9/20/2011,11:42,8.941
9/20/2011,12:12,8.941
9/20/2011,12:42,8.965
9/20/2011,13:12,8.99
9/20/2011,13:42,9.015
9/20/2011,14:12,9.04
9/20/2011,14:42,9.089
9/20/2011,15:12,9.089
9/20/2011,15:42,9.139
9/20/2011,16:12,9.163
9/20/2011,16:42,9.188
9/20/2011,17:12,9.213
9/20/2011,17:42,9.262
9/20/2011,18:12,9.262
9/20/2011,18:42,9.287
9/20/2011,19:12,9.312
9/20/2011,19:42,9.312
9/20/2011,20:12,9.336
9/20/2011,20:42,9.336
9/20/2011,21:12,9.361
9/20/2011,21:42,9.361
9/20/2011,22:12,9.361
9/20/2011,22:42,9.361
9/20/2011,23:12,9.361
9/20/2011,23:42,9.336
9/21/2011,0:12,9.312
9/21/2011,0:42,9.287
9/21/2011,1:12,9.238
9/21/2011,1:42,9.213
9/21/2011,2:12,9.188
9/21/2011,2:42,9.163
9/21/2011,3:12,9.139
9/21/2011,3:43,9.114
9/21/2011,4:13,9.114
9/21/2011,4:43,9.089
9/21/2011,5:13,9.089
9/21/2011,5:43,9.064
9/21/2011,6:13,9.089
9/21/2011,6:43,9.064
9/21/2011,7:13,9.015
9/21/2011,7:43,9.015
9/21/2011,8:13,9.015
9/21/2011,8:43,9.04
9/21/2011,9:13,9.015
9/21/2011,9:43,9.04
9/21/2011,10:13,9.064
9/21/2011,10:43,9.114
9/21/2011,11:13,9.188
9/21/2011,11:43,9.238
9/21/2011,12:13,9.287
9/21/2011,12:43,9.361
9/21/2011,13:13,9.435
9/21/2011,13:43,9.509
9/21/2011,14:13,9.632
9/21/2011,14:43,9.731
9/21/2011,15:13,9.829
9/21/2011,15:43,9.854
9/21/2011,16:13,9.903
9/21/2011,16:43,9.928
9/21/2011,17:13,9.928
9/21/2011,17:43,9.952
9/21/2011,18:13,9.928
9/21/2011,18:43,9.903
9/21/2011,19:13,9.854
9/21/2011,19:43,9.829
9/21/2011,20:13,9.78
9/21/2011,20:43,9.756
9/21/2011,21:13,9.731
9/21/2011,21:43,9.706
9/21/2011,22:13,9.706
9/21/2011,22:43,9.706
9/21/2011,23:13,9.682
9/21/2011,23:43,9.682
9/22/2011,0:13,9.682
9/22/2011,0:43,9.682
9/22/2011,1:13,9.682
9/22/2011,1:43,9.657
9/22/2011,2:13,9.657
9/22/2011,2:43,9.657
9/22/2011,3:13,9.657
9/22/2011,3:43,9.657
9/22/2011,4:13,9.657
9/22/2011,4:43,9.657
9/22/2011,5:13,9.657
9/22/2011,5:43,9.657
9/22/2011,6:13,9.657
9/22/2011,6:43,9.657
9/22/2011,7:13,9.632
9/22/2011,7:43,9.608
9/22/2011,8:13,9.608
9/22/2011,8:43,9.608
