Plot Title: 10402266,,
Date,"Time, GMT-08:00","Temp, °C (LGR S/N: 10402266, SEN S/N: 10402266)"
04/14/2016,12:30,8.581
04/14/2016,13:00,7.179
04/14/2016,13:30,6.877
04/14/2016,14:00,6.674
04/14/2016,14:30,7.079
04/14/2016,15:00,7.682
04/14/2016,15:30,8.082
04/14/2016,16:00,8.182
04/14/2016,16:30,8.382
04/14/2016,17:00,8.581
04/14/2016,17:30,8.382
04/14/2016,18:00,7.882
04/14/2016,18:30,6.978
04/14/2016,19:00,6.674
04/14/2016,19:30,6.471
04/14/2016,20:00,6.268
04/14/2016,20:30,6.166
04/14/2016,21:00,6.064
04/14/2016,21:30,6.064
04/14/2016,22:00,5.86
04/14/2016,22:30,5.655
04/14/2016,23:00,5.552
04/14/2016,23:30,5.347
04/15/2016,00:00,5.45
04/15/2016,00:30,5.347
04/15/2016,01:00,5.347
04/15/2016,01:30,5.347
04/15/2016,02:00,5.244
04/15/2016,02:30,5.244
04/15/2016,03:00,5.141
04/15/2016,03:30,4.934
04/15/2016,04:00,4.727
04/15/2016,04:30,4.623
04/15/2016,05:00,4.623
04/15/2016,05:30,4.727
04/15/2016,06:00,4.831
04/15/2016,06:30,4.727
04/15/2016,07:00,4.623
04/15/2016,07:30,4.831
04/15/2016,08:00,5.244
04/15/2016,08:30,5.552
04/15/2016,09:00,6.877
04/15/2016,09:30,6.877
04/15/2016,10:00,6.573
04/15/2016,10:30,6.573
04/15/2016,11:00,7.381
04/15/2016,11:30,7.28
04/15/2016,12:00,7.682
04/15/2016,12:30,8.382
04/15/2016,13:00,8.382
04/15/2016,13:30,8.082
04/15/2016,14:00,6.775
04/15/2016,14:30,6.674
04/15/2016,15:00,6.877
04/15/2016,15:30,6.978
04/15/2016,16:00,7.782
04/15/2016,16:30,7.983
04/15/2016,17:00,8.082
04/15/2016,17:30,7.28
04/15/2016,18:00,6.674
04/15/2016,18:30,6.573
04/15/2016,19:00,5.86
04/15/2016,19:30,5.141
04/15/2016,20:00,4.415
04/15/2016,20:30,4.102
04/15/2016,21:00,3.893
04/15/2016,21:30,3.893
04/15/2016,22:00,3.998
04/15/2016,22:30,4.102
04/15/2016,23:00,4.102
04/15/2016,23:30,4.207
04/16/2016,00:00,4.207
04/16/2016,00:30,3.998
04/16/2016,01:00,3.893
04/16/2016,01:30,3.998
04/16/2016,02:00,3.998
04/16/2016,02:30,3.683
04/16/2016,03:00,3.578
04/16/2016,03:30,3.578
04/16/2016,04:00,3.578
04/16/2016,04:30,3.472
04/16/2016,05:00,3.472
04/16/2016,05:30,3.472
04/16/2016,06:00,3.472
04/16/2016,06:30,3.472
04/16/2016,07:00,3.788
04/16/2016,07:30,3.998
04/16/2016,08:00,4.207
04/16/2016,08:30,4.623
04/16/2016,09:00,4.623
04/16/2016,09:30,4.727
04/16/2016,10:00,4.831
04/16/2016,10:30,5.962
04/16/2016,11:00,5.757
04/16/2016,11:30,7.28
04/16/2016,12:00,7.682
