Plot Title: 10201439,,
Date,"Time, GMT-08:00","Temp, °C (LGR S/N: 10201439, SEN S/N: 10201439)"
06/10/2014,15:30,12.401
06/10/2014,16:00,12.013
06/10/2014,16:30,12.304
06/10/2014,17:00,12.69
06/10/2014,17:30,12.401
06/10/2014,18:00,11.819
06/10/2014,18:30,11.625
06/10/2014,19:00,11.528
06/10/2014,19:30,11.528
06/10/2014,20:00,11.334
06/10/2014,20:30,11.041
06/10/2014,21:00,10.748
06/10/2014,21:30,10.357
06/10/2014,22:00,10.161
06/10/2014,22:30,9.965
06/10/2014,23:00,9.669
06/10/2014,23:30,9.275
06/11/2014,00:00,8.879
06/11/2014,00:30,8.282
06/11/2014,01:00,7.983
06/11/2014,01:30,7.381
06/11/2014,02:00,6.37
06/11/2014,02:30,6.268
06/11/2014,03:00,6.37
06/11/2014,03:30,6.674
06/11/2014,04:00,6.674
06/11/2014,04:30,6.573
06/11/2014,05:00,6.775
06/11/2014,05:30,7.179
06/11/2014,06:00,7.481
06/11/2014,06:30,8.082
06/11/2014,07:00,9.077
06/11/2014,07:30,10.161
06/11/2014,08:00,10.455
06/11/2014,08:30,11.916
06/11/2014,09:00,12.013
06/11/2014,09:30,11.528
06/11/2014,10:00,11.431
06/11/2014,10:30,12.304
06/11/2014,11:00,12.401
06/11/2014,11:30,12.304
06/11/2014,12:00,11.819
06/11/2014,12:30,12.594
06/11/2014,13:00,12.207
06/11/2014,13:30,12.11
06/11/2014,14:00,12.013
06/11/2014,14:30,12.497
06/11/2014,15:00,12.787
06/11/2014,15:30,13.269
06/11/2014,16:00,13.173
06/11/2014,16:30,12.883
06/11/2014,17:00,13.269
06/11/2014,17:30,12.787
06/11/2014,18:00,12.69
06/11/2014,18:30,12.401
06/11/2014,19:00,12.013
06/11/2014,19:30,11.722
06/11/2014,20:00,11.625
06/11/2014,20:30,11.041
06/11/2014,21:00,10.063
06/11/2014,21:30,9.176
06/11/2014,22:00,8.382
06/11/2014,22:30,7.782
06/11/2014,23:00,7.179
06/11/2014,23:30,6.471
06/12/2014,00:00,6.064
06/12/2014,00:30,5.757
06/12/2014,01:00,5.552
06/12/2014,01:30,6.064
06/12/2014,02:00,6.166
06/12/2014,02:30,6.674
06/12/2014,03:00,6.978
06/12/2014,03:30,7.079
06/12/2014,04:00,6.978
06/12/2014,04:30,6.674
06/12/2014,05:00,6.674
06/12/2014,05:30,6.877
06/12/2014,06:00,7.481
06/12/2014,06:30,7.983
06/12/2014,07:00,8.182
06/12/2014,07:30,8.879
06/12/2014,08:00,10.259
06/12/2014,08:30,10.455
06/12/2014,09:00,10.748
06/12/2014,09:30,10.553
06/12/2014,10:00,10.651
06/12/2014,10:30,10.748
06/12/2014,11:00,11.236
06/12/2014,11:30,11.236
06/12/2014,12:00,11.722
06/12/2014,12:30,12.594
06/12/2014,13:00,12.98
06/12/2014,13:30,14.23
06/12/2014,14:00,12.98
06/12/2014,14:30,13.076
06/12/2014,15:00,13.365
06/12/2014,15:30,12.594
06/12/2014,16:00,12.207
06/12/2014,16:30,12.207
06/12/2014,17:00,12.304
06/12/2014,17:30,11.625
06/12/2014,18:00,11.431
06/12/2014,18:30,11.334
06/12/2014,19:00,11.139
06/12/2014,19:30,10.846
06/12/2014,20:00,11.041
06/12/2014,20:30,11.041
06/12/2014,21:00,10.651
06/12/2014,21:30,9.965
06/12/2014,22:00,8.879
06/12/2014,22:30,7.682
06/12/2014,23:00,6.268
06/12/2014,23:30,6.471
06/13/2014,00:00,7.079
06/13/2014,00:30,6.775
06/13/2014,01:00,6.268
06/13/2014,01:30,5.655
06/13/2014,02:00,5.347
06/13/2014,02:30,5.347
06/13/2014,03:00,5.141
06/13/2014,03:30,5.244
06/13/2014,04:00,5.45
06/13/2014,04:30,4.831
06/13/2014,05:00,4.623
06/13/2014,05:30,5.552
06/13/2014,06:00,6.268
06/13/2014,06:30,7.079
06/13/2014,07:00,7.882
06/13/2014,07:30,8.481
06/13/2014,08:00,9.077
06/13/2014,08:30,9.768
06/13/2014,09:00,10.161
06/13/2014,09:30,10.063
06/13/2014,10:00,10.357
06/13/2014,10:30,10.357
06/13/2014,11:00,10.259
06/13/2014,11:30,9.866
06/13/2014,12:00,8.481
06/13/2014,12:30,8.581
06/13/2014,13:00,8.879
06/13/2014,13:30,9.373
06/13/2014,14:00,9.768
06/13/2014,14:30,9.768
06/13/2014,15:00,9.571
06/13/2014,15:30,9.275
06/13/2014,16:00,8.978
06/13/2014,16:30,8.879
06/13/2014,17:00,8.481
06/13/2014,17:30,8.282
06/13/2014,18:00,8.282
06/13/2014,18:30,7.983
06/13/2014,19:00,7.882
06/13/2014,19:30,7.682
06/13/2014,20:00,7.481
06/13/2014,20:30,7.582
06/13/2014,21:00,7.381
06/13/2014,21:30,7.481
06/13/2014,22:00,7.983
06/13/2014,22:30,7.582
06/13/2014,23:00,7.481
06/13/2014,23:30,7.682
06/14/2014,00:00,7.582
06/14/2014,00:30,8.282
06/14/2014,01:00,8.082
06/14/2014,01:30,7.983
06/14/2014,02:00,7.782
06/14/2014,02:30,7.582
06/14/2014,03:00,7.381
06/14/2014,03:30,7.28
06/14/2014,04:00,7.28
06/14/2014,04:30,7.28
06/14/2014,05:00,7.28
06/14/2014,05:30,7.28
06/14/2014,06:00,7.481
06/14/2014,06:30,7.682
06/14/2014,07:00,7.983
06/14/2014,07:30,8.282
06/14/2014,08:00,8.779
06/14/2014,08:30,9.077
06/14/2014,09:00,9.472
06/14/2014,09:30,9.373
06/14/2014,10:00,10.161
06/14/2014,10:30,11.139
06/14/2014,11:00,12.594
06/14/2014,11:30,13.558
06/14/2014,12:00,14.134
06/14/2014,12:30,14.23
06/14/2014,13:00,14.134
06/14/2014,13:30,13.461
06/14/2014,14:00,12.401
06/14/2014,14:30,12.11
06/14/2014,15:00,12.497
06/14/2014,15:30,12.207
06/14/2014,16:00,11.819
06/14/2014,16:30,11.916
06/14/2014,17:00,12.787
06/14/2014,17:30,13.076
06/14/2014,18:00,12.497
06/14/2014,18:30,12.594
06/14/2014,19:00,12.207
06/14/2014,19:30,11.528
06/14/2014,20:00,11.139
06/14/2014,20:30,10.553
06/14/2014,21:00,9.866
06/14/2014,21:30,9.571
06/14/2014,22:00,9.373
06/14/2014,22:30,8.68
06/14/2014,23:00,8.082
06/14/2014,23:30,7.983
06/15/2014,00:00,7.983
06/15/2014,00:30,7.782
06/15/2014,01:00,7.782
06/15/2014,01:30,7.882
06/15/2014,02:00,7.882
06/15/2014,02:30,7.882
06/15/2014,03:00,7.882
06/15/2014,03:30,7.882
06/15/2014,04:00,7.782
06/15/2014,04:30,7.782
06/15/2014,05:00,7.983
06/15/2014,05:30,8.182
06/15/2014,06:00,8.481
06/15/2014,06:30,8.68
06/15/2014,07:00,9.176
06/15/2014,07:30,9.866
06/15/2014,08:00,10.651
06/15/2014,08:30,11.041
06/15/2014,09:00,11.819
06/15/2014,09:30,12.883
06/15/2014,10:00,14.23
06/15/2014,10:30,13.173
06/15/2014,11:00,13.365
06/15/2014,11:30,13.75
06/15/2014,12:00,14.421
06/15/2014,12:30,14.9
06/15/2014,13:00,14.709
06/15/2014,13:30,13.846
06/15/2014,14:00,13.461
06/15/2014,14:30,12.98
06/15/2014,15:00,11.819
06/15/2014,15:30,11.528
06/15/2014,16:00,11.625
06/15/2014,16:30,11.625
06/15/2014,17:00,12.207
06/15/2014,17:30,12.69
06/15/2014,18:00,12.787
06/15/2014,18:30,13.076
06/15/2014,19:00,12.98
06/15/2014,19:30,12.883
06/15/2014,20:00,12.304
06/15/2014,20:30,12.013
06/15/2014,21:00,11.916
06/15/2014,21:30,11.625
06/15/2014,22:00,10.553
06/15/2014,22:30,9.373
06/15/2014,23:00,7.882
06/15/2014,23:30,6.877
06/16/2014,00:00,6.166
06/16/2014,00:30,5.552
06/16/2014,01:00,5.141
06/16/2014,01:30,4.727
06/16/2014,02:00,5.552
06/16/2014,02:30,6.471
06/16/2014,03:00,6.674
06/16/2014,03:30,6.268
06/16/2014,04:00,5.347
06/16/2014,04:30,5.141
06/16/2014,05:00,5.347
06/16/2014,05:30,6.37
06/16/2014,06:00,7.481
06/16/2014,06:30,8.082
06/16/2014,07:00,8.879
06/16/2014,07:30,12.401
06/16/2014,08:00,13.942
06/16/2014,08:30,13.558
06/16/2014,09:00,13.173
06/16/2014,09:30,13.75
06/16/2014,10:00,13.75
06/16/2014,10:30,13.654
06/16/2014,11:00,13.173
06/16/2014,11:30,12.98
06/16/2014,12:00,13.365
06/16/2014,12:30,13.365
06/16/2014,13:00,14.517
06/16/2014,13:30,14.134
06/16/2014,14:00,14.9
06/16/2014,14:30,15.187
06/16/2014,15:00,14.996
06/16/2014,15:30,15.282
06/16/2014,16:00,15.378
06/16/2014,16:30,15.282
06/16/2014,17:00,15.091
06/16/2014,17:30,15.187
06/16/2014,18:00,15.091
06/16/2014,18:30,14.709
06/16/2014,19:00,14.325
06/16/2014,19:30,13.942
06/16/2014,20:00,13.461
06/16/2014,20:30,13.076
06/16/2014,21:00,12.497
06/16/2014,21:30,11.722
06/16/2014,22:00,11.431
06/16/2014,22:30,10.651
06/16/2014,23:00,9.965
06/16/2014,23:30,9.669
06/17/2014,00:00,9.571
06/17/2014,00:30,9.373
06/17/2014,01:00,8.978
06/17/2014,01:30,8.879
06/17/2014,02:00,8.68
06/17/2014,02:30,8.282
06/17/2014,03:00,7.882
06/17/2014,03:30,7.882
06/17/2014,04:00,8.282
06/17/2014,04:30,8.481
06/17/2014,05:00,8.481
06/17/2014,05:30,8.581
06/17/2014,06:00,8.581
06/17/2014,06:30,8.68
06/17/2014,07:00,8.978
06/17/2014,07:30,8.779
06/17/2014,08:00,8.978
06/17/2014,08:30,9.176
06/17/2014,09:00,9.176
06/17/2014,09:30,9.077
06/17/2014,10:00,9.275
06/17/2014,10:30,9.866
06/17/2014,11:00,10.161
06/17/2014,11:30,9.669
06/17/2014,12:00,9.571
06/17/2014,12:30,9.669
06/17/2014,13:00,9.571
06/17/2014,13:30,9.669
06/17/2014,14:00,9.472
06/17/2014,14:30,10.161
06/17/2014,15:00,9.669
06/17/2014,15:30,10.455
06/17/2014,16:00,9.669
06/17/2014,16:30,8.581
06/17/2014,17:00,9.768
06/17/2014,17:30,10.063
06/17/2014,18:00,9.176
06/17/2014,18:30,9.275
06/17/2014,19:00,9.866
06/17/2014,19:30,9.176
06/17/2014,20:00,8.68
06/17/2014,20:30,8.68
06/17/2014,21:00,8.282
06/17/2014,21:30,8.082
06/17/2014,22:00,7.582
06/17/2014,22:30,7.582
06/17/2014,23:00,7.582
06/17/2014,23:30,7.481
06/18/2014,00:00,7.582
06/18/2014,00:30,7.682
06/18/2014,01:00,7.682
06/18/2014,01:30,7.481
06/18/2014,02:00,7.28
06/18/2014,02:30,7.079
06/18/2014,03:00,6.978
06/18/2014,03:30,6.877
06/18/2014,04:00,6.775
06/18/2014,04:30,6.775
06/18/2014,05:00,6.978
06/18/2014,05:30,7.079
06/18/2014,06:00,7.28
06/18/2014,06:30,7.682
06/18/2014,07:00,7.782
06/18/2014,07:30,8.082
06/18/2014,08:00,7.782
06/18/2014,08:30,7.582
06/18/2014,09:00,7.582
06/18/2014,09:30,7.782
06/18/2014,10:00,7.782
06/18/2014,10:30,7.983
06/18/2014,11:00,7.983
06/18/2014,11:30,7.983
06/18/2014,12:00,8.182
06/18/2014,12:30,8.082
06/18/2014,13:00,8.182
06/18/2014,13:30,8.182
06/18/2014,14:00,8.282
