Date,"Time, GMT-08:00","Temp, °C (LGR S/N: 10144208, SEN S/N: 10144208)"
09/16/2014,13:00,13.942
09/16/2014,15:00,13.75
09/16/2014,17:00,13.75
09/16/2014,19:00,13.75
09/16/2014,21:00,13.75
09/16/2014,23:00,13.75
09/17/2014,01:00,13.75
09/17/2014,03:00,13.75
09/17/2014,05:00,13.75
09/17/2014,07:00,13.75
09/17/2014,09:00,13.75
09/17/2014,11:00,13.75
09/17/2014,13:00,13.75
09/17/2014,15:00,13.75
09/17/2014,17:00,13.654
09/17/2014,19:00,13.654
09/17/2014,21:00,13.654
09/17/2014,23:00,13.654
09/18/2014,01:00,13.558
09/18/2014,03:00,13.365
09/18/2014,05:00,13.269
09/18/2014,07:00,13.173
09/18/2014,09:00,12.98
09/18/2014,11:00,12.98
09/18/2014,13:00,12.98
09/18/2014,15:00,12.98
09/18/2014,17:00,12.98
09/18/2014,19:00,12.98
09/18/2014,21:00,12.98
09/18/2014,23:00,12.883
09/19/2014,01:00,12.787
09/19/2014,03:00,12.69
09/19/2014,05:00,12.594
09/19/2014,07:00,12.497
09/19/2014,09:00,12.497
09/19/2014,11:00,12.401
09/19/2014,13:00,12.497
09/19/2014,15:00,12.497
09/19/2014,17:00,12.497
09/19/2014,19:00,12.497
09/19/2014,21:00,12.594
09/19/2014,23:00,12.594
09/20/2014,01:00,12.594
09/20/2014,03:00,12.594
09/20/2014,05:00,12.594
09/20/2014,07:00,12.594
09/20/2014,09:00,12.497
09/20/2014,11:00,12.497
09/20/2014,13:00,12.497
09/20/2014,15:00,12.497
09/20/2014,17:00,12.497
09/20/2014,19:00,12.497
09/20/2014,21:00,12.594
09/20/2014,23:00,12.594
09/21/2014,01:00,12.497
09/21/2014,03:00,12.401
09/21/2014,05:00,12.207
09/21/2014,07:00,12.11
09/21/2014,09:00,11.916
09/21/2014,11:00,11.916
09/21/2014,13:00,11.916
09/21/2014,15:00,11.819
09/21/2014,17:00,11.819
09/21/2014,19:00,11.819
09/21/2014,21:00,11.722
09/21/2014,23:00,11.625
09/22/2014,01:00,11.528
09/22/2014,03:00,11.528
09/22/2014,05:00,11.528
09/22/2014,07:00,11.431
09/22/2014,09:00,11.334
09/22/2014,11:00,11.236
09/22/2014,13:00,11.236
09/22/2014,15:00,11.334
09/22/2014,17:00,11.431
09/22/2014,19:00,11.431
09/22/2014,21:00,11.431
09/22/2014,23:00,11.236
09/23/2014,01:00,11.139
09/23/2014,03:00,10.944
09/23/2014,05:00,10.748
09/23/2014,07:00,10.651
09/23/2014,09:00,10.455
09/23/2014,11:00,10.455
09/23/2014,13:00,10.553
09/23/2014,15:00,10.748
09/23/2014,17:00,10.846
09/23/2014,19:00,10.846
09/23/2014,21:00,10.846
09/23/2014,23:00,10.846
09/24/2014,01:00,10.846
09/24/2014,03:00,10.748
09/24/2014,05:00,10.455
09/24/2014,07:00,10.259
09/24/2014,09:00,9.965
09/24/2014,11:00,9.965
09/24/2014,13:00,10.161
09/24/2014,15:00,10.259
09/24/2014,17:00,10.357
09/24/2014,19:00,10.357
09/24/2014,21:00,10.455
09/24/2014,23:00,10.455
09/25/2014,01:00,10.357
09/25/2014,03:00,10.161
09/25/2014,05:00,9.965
09/25/2014,07:00,9.768
09/25/2014,09:00,9.472
09/25/2014,11:00,9.571
09/25/2014,13:00,9.768
09/25/2014,15:00,9.866
09/25/2014,17:00,9.965
09/25/2014,19:00,9.965
09/25/2014,21:00,9.965
09/25/2014,23:00,9.965
09/26/2014,01:00,9.965
09/26/2014,03:00,9.768
09/26/2014,05:00,9.669
09/26/2014,07:00,9.571
09/26/2014,09:00,9.472
09/26/2014,11:00,9.373
09/26/2014,13:00,9.373
09/26/2014,15:00,9.373
09/26/2014,17:00,9.373
09/26/2014,19:00,9.472
09/26/2014,21:00,9.472
09/26/2014,23:00,9.472
09/27/2014,01:00,9.472
09/27/2014,03:00,9.472
09/27/2014,05:00,9.472
09/27/2014,07:00,9.472
09/27/2014,09:00,9.472
09/27/2014,11:00,9.472
09/27/2014,13:00,9.472
09/27/2014,15:00,9.571
09/27/2014,17:00,9.571
09/27/2014,19:00,9.571
09/27/2014,21:00,9.669
09/27/2014,23:00,9.669
09/28/2014,01:00,9.669
09/28/2014,03:00,9.669
09/28/2014,05:00,9.669
09/28/2014,07:00,9.669
09/28/2014,09:00,9.571
09/28/2014,11:00,9.571
09/28/2014,13:00,9.571
09/28/2014,15:00,9.571
09/28/2014,17:00,9.669
09/28/2014,19:00,9.669
09/28/2014,21:00,9.669
09/28/2014,23:00,9.669
09/29/2014,01:00,9.669
09/29/2014,03:00,9.768
09/29/2014,05:00,9.768
09/29/2014,07:00,9.669
09/29/2014,09:00,9.669
09/29/2014,11:00,9.669
09/29/2014,13:00,9.768
09/29/2014,15:00,9.768
09/29/2014,17:00,9.768
09/29/2014,19:00,9.866
09/29/2014,21:00,9.866
09/29/2014,23:00,9.965
09/30/2014,01:00,9.965
09/30/2014,03:00,10.063
09/30/2014,05:00,10.063
09/30/2014,07:00,10.063
09/30/2014,09:00,9.866
09/30/2014,11:00,9.866
09/30/2014,13:00,9.866
09/30/2014,15:00,9.866
09/30/2014,17:00,9.965
09/30/2014,19:00,9.965
09/30/2014,21:00,9.965
09/30/2014,23:00,9.866
10/01/2014,01:00,9.669
10/01/2014,03:00,9.373
10/01/2014,05:00,9.176
10/01/2014,07:00,8.879
10/01/2014,09:00,8.68
10/01/2014,11:00,8.68
10/01/2014,13:00,8.779
10/01/2014,15:00,8.978
10/01/2014,17:00,9.077
10/01/2014,19:00,9.077
10/01/2014,21:00,9.077
10/01/2014,23:00,8.879
10/02/2014,01:00,8.68
10/02/2014,03:00,8.481
10/02/2014,05:00,8.282
10/02/2014,07:00,8.082
10/02/2014,09:00,7.882
10/02/2014,11:00,7.882
10/02/2014,13:00,7.882
10/02/2014,15:00,7.983
10/02/2014,17:00,7.882
10/02/2014,19:00,7.882
10/02/2014,21:00,7.882
10/02/2014,23:00,7.882
10/03/2014,01:00,7.782
10/03/2014,03:00,7.782
10/03/2014,05:00,7.682
10/03/2014,07:00,7.682
10/03/2014,09:00,7.682
10/03/2014,11:00,7.682
10/03/2014,13:00,7.682
10/03/2014,15:00,7.782
10/03/2014,17:00,7.782
10/03/2014,19:00,7.882
10/03/2014,21:00,7.882
10/03/2014,23:00,7.882
10/04/2014,01:00,7.882
10/04/2014,03:00,7.983
10/04/2014,05:00,7.983
10/04/2014,07:00,7.983
10/04/2014,09:00,7.983
10/04/2014,11:00,7.983
10/04/2014,13:00,8.082
10/04/2014,15:00,8.182
10/04/2014,17:00,8.182
10/04/2014,19:00,8.282
10/04/2014,21:00,8.382
10/04/2014,23:00,8.382
10/05/2014,01:00,8.481
10/05/2014,03:00,8.481
10/05/2014,05:00,8.581
10/05/2014,07:00,8.581
10/05/2014,09:00,8.68
10/05/2014,11:00,8.779
10/05/2014,13:00,8.779
10/05/2014,15:00,8.879
10/05/2014,17:00,8.879
10/05/2014,19:00,8.978
10/05/2014,21:00,9.077
10/05/2014,23:00,9.077
10/06/2014,01:00,9.077
10/06/2014,03:00,8.879
10/06/2014,05:00,8.779
10/06/2014,07:00,8.581
10/06/2014,09:00,8.481
10/06/2014,11:00,8.481
10/06/2014,13:00,8.481
10/06/2014,15:00,8.481
10/06/2014,17:00,8.581
10/06/2014,19:00,8.481
10/06/2014,21:00,8.481
10/06/2014,23:00,8.382
10/07/2014,01:00,8.282
10/07/2014,03:00,8.182
10/07/2014,05:00,7.983
10/07/2014,07:00,7.882
10/07/2014,09:00,7.682
10/07/2014,11:00,7.682
10/07/2014,13:00,7.782
10/07/2014,15:00,7.983
10/07/2014,17:00,7.983
10/07/2014,19:00,8.082
10/07/2014,21:00,8.082
10/07/2014,23:00,8.082
10/08/2014,01:00,7.983
10/08/2014,03:00,7.882
10/08/2014,05:00,7.782
10/08/2014,07:00,7.582
10/08/2014,09:00,7.481
10/08/2014,11:00,7.481
10/08/2014,13:00,7.481
10/08/2014,15:00,7.481
10/08/2014,17:00,7.582
10/08/2014,19:00,7.481
10/08/2014,21:00,7.481
10/08/2014,23:00,7.381
10/09/2014,01:00,7.179
10/09/2014,03:00,7.079
10/09/2014,05:00,6.978
10/09/2014,07:00,6.877
10/09/2014,09:00,6.775
10/09/2014,11:00,6.775
10/09/2014,13:00,6.775
10/09/2014,15:00,6.775
10/09/2014,17:00,6.877
10/09/2014,19:00,6.877
10/09/2014,21:00,6.978
10/09/2014,23:00,6.978
10/10/2014,01:00,6.978
10/10/2014,03:00,6.978
10/10/2014,05:00,6.978
10/10/2014,07:00,6.978
10/10/2014,09:00,6.978
10/10/2014,11:00,6.978
10/10/2014,13:00,7.079
10/10/2014,15:00,7.179
10/10/2014,17:00,7.28
10/10/2014,19:00,7.28
10/10/2014,21:00,7.381
10/10/2014,23:00,7.481
10/11/2014,01:00,7.481
10/11/2014,03:00,7.582
10/11/2014,05:00,7.582
10/11/2014,07:00,7.582
10/11/2014,09:00,7.682
10/11/2014,11:00,7.682
10/11/2014,13:00,7.782
10/11/2014,15:00,7.882
10/11/2014,17:00,7.983
10/11/2014,19:00,8.082
10/11/2014,21:00,8.182
10/11/2014,23:00,8.182
10/12/2014,01:00,8.182
10/12/2014,03:00,8.282
10/12/2014,05:00,8.282
10/12/2014,07:00,8.282
10/12/2014,09:00,8.282
10/12/2014,11:00,8.282
10/12/2014,13:00,8.282
10/12/2014,15:00,8.382
10/12/2014,17:00,8.382
10/12/2014,19:00,8.481
10/12/2014,21:00,8.581
10/12/2014,23:00,8.68
10/13/2014,01:00,8.68
10/13/2014,03:00,8.68
10/13/2014,05:00,8.68
10/13/2014,07:00,8.68
10/13/2014,09:00,8.581
10/13/2014,11:00,8.481
10/13/2014,13:00,8.481
10/13/2014,15:00,8.481
10/13/2014,17:00,8.581
10/13/2014,19:00,8.581
10/13/2014,21:00,8.68
10/13/2014,23:00,8.68
10/14/2014,01:00,8.581
10/14/2014,03:00,8.481
10/14/2014,05:00,8.382
10/14/2014,07:00,8.282
10/14/2014,09:00,8.282
10/14/2014,11:00,8.182
10/14/2014,13:00,8.182
10/14/2014,15:00,8.182
10/14/2014,17:00,8.282
10/14/2014,19:00,8.282
10/14/2014,21:00,8.282
10/14/2014,23:00,8.182
10/15/2014,01:00,8.082
10/15/2014,03:00,7.882
10/15/2014,05:00,7.782
10/15/2014,07:00,7.582
10/15/2014,09:00,7.381
10/15/2014,11:00,7.28
10/15/2014,13:00,7.381
10/15/2014,15:00,7.381
10/15/2014,17:00,7.481
10/15/2014,19:00,7.481
10/15/2014,21:00,7.481
10/15/2014,23:00,7.481
10/16/2014,01:00,7.381
10/16/2014,03:00,7.381
10/16/2014,05:00,7.28
10/16/2014,07:00,7.179
10/16/2014,09:00,7.079
10/16/2014,11:00,6.978
10/16/2014,13:00,7.079
10/16/2014,15:00,7.179
10/16/2014,17:00,7.179
10/16/2014,19:00,7.179
10/16/2014,21:00,7.179
10/16/2014,23:00,7.179
10/17/2014,01:00,7.179
10/17/2014,03:00,7.179
10/17/2014,05:00,7.079
10/17/2014,07:00,7.079
10/17/2014,09:00,7.079
10/17/2014,11:00,7.079
10/17/2014,13:00,7.079
10/17/2014,15:00,7.179
10/17/2014,17:00,7.179
10/17/2014,19:00,7.28
10/17/2014,21:00,7.381
10/17/2014,23:00,7.28
10/18/2014,01:00,7.179
10/18/2014,03:00,7.079
10/18/2014,05:00,6.978
10/18/2014,07:00,6.877
10/18/2014,09:00,6.674
10/18/2014,11:00,6.674
10/18/2014,13:00,6.775
10/18/2014,15:00,6.775
10/18/2014,17:00,6.877
10/18/2014,19:00,6.877
10/18/2014,21:00,6.877
10/18/2014,23:00,6.775
10/19/2014,01:00,6.877
10/19/2014,03:00,6.877
10/19/2014,05:00,6.877
10/19/2014,07:00,6.877
10/19/2014,09:00,6.877
10/19/2014,11:00,6.877
10/19/2014,13:00,6.877
10/19/2014,15:00,6.978
10/19/2014,17:00,7.079
10/19/2014,19:00,7.179
10/19/2014,21:00,7.28
10/19/2014,23:00,7.28
10/20/2014,01:00,7.381
10/20/2014,03:00,7.381
10/20/2014,05:00,7.381
10/20/2014,07:00,7.481
10/20/2014,09:00,7.481
10/20/2014,11:00,7.481
10/20/2014,13:00,7.481
10/20/2014,15:00,7.582
10/20/2014,17:00,7.582
10/20/2014,19:00,7.682
10/20/2014,21:00,7.782
10/20/2014,23:00,7.782
10/21/2014,01:00,7.582
10/21/2014,03:00,7.481
10/21/2014,05:00,7.381
10/21/2014,07:00,7.179
10/21/2014,09:00,7.079
10/21/2014,11:00,6.978
10/21/2014,13:00,6.978
10/21/2014,15:00,6.978
10/21/2014,17:00,7.079
10/21/2014,19:00,6.978
10/21/2014,21:00,6.978
10/21/2014,23:00,6.877
10/22/2014,01:00,6.775
10/22/2014,03:00,6.775
10/22/2014,05:00,6.674
10/22/2014,07:00,6.573
10/22/2014,09:00,6.573
10/22/2014,11:00,6.573
10/22/2014,13:00,6.573
10/22/2014,15:00,6.573
10/22/2014,17:00,6.573
10/22/2014,19:00,6.573
10/22/2014,21:00,6.573
10/22/2014,23:00,6.573
10/23/2014,01:00,6.573
10/23/2014,03:00,6.471
10/23/2014,05:00,6.37
10/23/2014,07:00,6.268
10/23/2014,09:00,6.166
10/23/2014,11:00,6.166
10/23/2014,13:00,6.166
10/23/2014,15:00,6.166
10/23/2014,17:00,6.166
10/23/2014,19:00,6.166
10/23/2014,21:00,6.166
10/23/2014,23:00,6.166
10/24/2014,01:00,6.064
10/24/2014,03:00,6.064
10/24/2014,05:00,5.962
10/24/2014,07:00,5.962
10/24/2014,09:00,5.86
10/24/2014,11:00,5.86
10/24/2014,13:00,5.86
10/24/2014,15:00,5.962
10/24/2014,17:00,5.962
10/24/2014,19:00,6.064
10/24/2014,21:00,5.962
10/24/2014,23:00,5.962
10/25/2014,01:00,5.962
10/25/2014,03:00,5.86
10/25/2014,05:00,5.757
10/25/2014,07:00,5.757
10/25/2014,09:00,5.757
10/25/2014,11:00,5.757
10/25/2014,13:00,5.757
10/25/2014,15:00,5.86
10/25/2014,17:00,5.86
10/25/2014,19:00,5.86
10/25/2014,21:00,5.757
10/25/2014,23:00,5.757
10/26/2014,01:00,5.757
10/26/2014,03:00,5.655
10/26/2014,05:00,5.655
10/26/2014,07:00,5.552
10/26/2014,09:00,5.552
10/26/2014,11:00,5.552
10/26/2014,13:00,5.552
10/26/2014,15:00,5.552
10/26/2014,17:00,5.552
10/26/2014,19:00,5.552
10/26/2014,21:00,5.552
10/26/2014,23:00,5.45
10/27/2014,01:00,5.45
10/27/2014,03:00,5.347
10/27/2014,05:00,5.347
10/27/2014,07:00,5.347
10/27/2014,09:00,5.347
10/27/2014,11:00,5.347
10/27/2014,13:00,5.45
10/27/2014,15:00,5.45
10/27/2014,17:00,5.552
10/27/2014,19:00,5.552
10/27/2014,21:00,5.45
10/27/2014,23:00,5.45
10/28/2014,01:00,5.45
10/28/2014,03:00,5.45
10/28/2014,05:00,5.347
10/28/2014,07:00,5.244
10/28/2014,09:00,5.244
10/28/2014,11:00,5.244
10/28/2014,13:00,5.347
10/28/2014,15:00,5.45
10/28/2014,17:00,5.45
10/28/2014,19:00,5.45
10/28/2014,21:00,5.347
10/28/2014,23:00,5.347
10/29/2014,01:00,5.347
10/29/2014,03:00,5.244
10/29/2014,05:00,5.244
10/29/2014,07:00,5.244
10/29/2014,09:00,5.141
10/29/2014,11:00,5.141
10/29/2014,13:00,5.244
10/29/2014,15:00,5.244
10/29/2014,17:00,5.347
10/29/2014,19:00,5.347
10/29/2014,21:00,5.244
10/29/2014,23:00,5.244
10/30/2014,01:00,5.244
10/30/2014,03:00,5.244
10/30/2014,05:00,5.141
10/30/2014,07:00,5.141
10/30/2014,09:00,5.141
10/30/2014,11:00,5.037
10/30/2014,13:00,5.141
10/30/2014,15:00,5.141
10/30/2014,17:00,5.141
10/30/2014,19:00,5.244
10/30/2014,21:00,5.244
10/30/2014,23:00,5.141
10/31/2014,01:00,5.141
10/31/2014,03:00,5.141
10/31/2014,05:00,5.037
10/31/2014,07:00,5.037
10/31/2014,09:00,4.934
10/31/2014,11:00,4.934
10/31/2014,13:00,4.934
10/31/2014,15:00,5.037
10/31/2014,17:00,5.037
10/31/2014,19:00,4.934
10/31/2014,21:00,4.934
10/31/2014,23:00,4.934
11/01/2014,01:00,4.934
11/01/2014,03:00,4.831
11/01/2014,05:00,4.831
11/01/2014,07:00,4.831
11/01/2014,09:00,4.727
11/01/2014,11:00,4.727
11/01/2014,13:00,4.727
11/01/2014,15:00,4.727
11/01/2014,17:00,4.831
11/01/2014,19:00,4.831
11/01/2014,21:00,4.831
11/01/2014,23:00,4.934
11/02/2014,01:00,4.934
11/02/2014,03:00,4.934
11/02/2014,05:00,4.934
11/02/2014,07:00,4.934
11/02/2014,09:00,4.934
11/02/2014,11:00,4.831
11/02/2014,13:00,4.831
11/02/2014,15:00,4.934
11/02/2014,17:00,4.934
11/02/2014,19:00,4.934
11/02/2014,21:00,4.934
11/02/2014,23:00,4.934
11/03/2014,01:00,4.934
11/03/2014,03:00,4.831
11/03/2014,05:00,4.831
11/03/2014,07:00,4.831
11/03/2014,09:00,4.831
11/03/2014,11:00,4.831
11/03/2014,13:00,4.727
11/03/2014,15:00,4.831
11/03/2014,17:00,4.831
11/03/2014,19:00,4.831
11/03/2014,21:00,4.831
11/03/2014,23:00,4.831
11/04/2014,01:00,4.831
11/04/2014,03:00,4.831
11/04/2014,05:00,4.831
11/04/2014,07:00,4.831
11/04/2014,09:00,4.831
11/04/2014,11:00,4.727
11/04/2014,13:00,4.727
11/04/2014,15:00,4.831
11/04/2014,17:00,4.727
11/04/2014,19:00,4.727
11/04/2014,21:00,4.727
11/04/2014,23:00,4.623
11/05/2014,01:00,4.623
11/05/2014,03:00,4.623
11/05/2014,05:00,4.623
11/05/2014,07:00,4.623
11/05/2014,09:00,4.623
11/05/2014,11:00,4.519
11/05/2014,13:00,4.519
11/05/2014,15:00,4.519
11/05/2014,17:00,4.623
11/05/2014,19:00,4.623
11/05/2014,21:00,4.727
11/05/2014,23:00,4.727
11/06/2014,01:00,4.727
