"","Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"1",1,"2090s",2.07230144401514,0.834676637749006
"2",2,"2090s",2.32263716889966,0.970061737541326
"3",3,"2090s",2.61634317662756,0.94196757478166
"4",4,"2090s",2.84557041619994,1.1808367509855
"5",5,"2090s",3.16168534367238,1.57399705713867
"6",6,"2090s",3.36416027060464,2.01878687245428
"7",7,"2090s",3.41509419244955,2.15282675258478
"8",8,"2090s",3.36374574558958,2.00381025996776
"9",9,"2090s",3.22178173959952,1.59190142338275
"10",10,"2090s",2.94081203155446,1.06777991541882
"11",11,"2090s",2.45516567108604,0.825832245663788
"12",12,"2090s",2.20749223802645,0.8518708043584
