"","Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"1",1,"2060s",0.739162510022198,0.977592814114046
"2",2,"2060s",0.785738195944562,1.20015772683587
"3",3,"2060s",1.02777477283771,1.13029845397632
"4",4,"2060s",1.46764254770826,1.19246123742306
"5",5,"2060s",1.67792640088184,1.56473550336921
"6",6,"2060s",1.79853937865605,2.00424856682753
"7",7,"2060s",2.06732812089607,2.10974731360155
"8",8,"2060s",1.96150268569297,1.94668236636517
"9",9,"2060s",1.8229627696069,1.54156265802656
"10",10,"2060s",1.55305418479452,1.05026122405952
"11",11,"2060s",1.0576623947217,0.938773150893338
"12",12,"2060s",0.519436569435803,0.96212155332657
