"date","2.5%","50%","97.5%","MP1","MP3","PL3","PL2","UBP3","MP5","MP8","UBP1","UBP2","PL1","UBP4"
2012-01-01,-4.39196741286088,-0.00602462559386823,4.39918927930027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-02-01,-2.37436803482268,0.969883113937896,4.38648829226233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-01,-4.54180860340582,-1.12911138494852,2.29828150722476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-04-01,0.884017192805532,4.13305546317089,7.41451935138977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-01,3.29865167894274,6.57103382104721,9.88403506016384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-01,7.26429553838215,10.6132950468755,14.0064921183798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-01,9.39019153482312,12.7476750379542,16.1945779142311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-08-01,9.61263003438605,13.0088363646064,16.4152987107942,16.16,12.59,15.72,15.72,15.46,NA,NA,15.21,15.26,NA,NA
2012-09-01,7.26103370487509,10.5647143979746,13.8811636201878,11.88,9.25,11.17,11.17,11.01,9.62,9.61,10.98,11.05,NA,NA
2012-10-01,0.236194891927152,3.48897142374095,6.84452955054562,6.62,5.85,4.33,4.33,5.6,5.82,6.19,4.97,5.43,NA,NA
2012-11-01,-3.57945413890157,-0.191399981243094,3.19176071962314,0.9,2.38,-0.7,-0.7,-1.17,2.02,2.07,0.02,0.07,NA,NA
2012-12-01,-7.38923977643825,-3.89422577735786,-0.323955701047662,0.16,0.85,-1.58,-1.58,-3.16,0.55,0.73,-0.51,-0.19,NA,NA
2013-01-01,-3.25868375449553,0.0779197505768681,3.40792866004554,0.12,0.65,-0.4,-0.4,-0.54,0.43,0.52,0.02,0.21,NA,NA
2013-02-01,-1.34582330060268,2.02685066248357,5.32098673374359,0.21,0.61,-0.27,-0.27,0.16,0.38,0.36,0.13,0.15,NA,NA
2013-03-01,-4.87322490893831,-1.46422891296275,1.9570165719634,0.23,0.25,-1.09,-1.09,-1,0.23,0.29,0.13,0.22,NA,NA
2013-04-01,-2.60954093865331,0.754992142948846,4.11691743341914,0.23,0.23,-0.14,-0.14,0.31,0.26,0.28,0.12,0.23,NA,NA
2013-05-01,4.29524838503619,7.5929304344201,10.8836383822741,2.71,1.65,5.72,5.72,8.86,3.07,2.19,7.5,5.85,NA,NA
2013-06-01,10.1620816970021,13.5478597832803,16.9673134002168,17.4,13.65,17.66,17.66,17.46,15.68,16.15,18.02,18.62,NA,NA
2013-07-01,11.3096012712522,14.6899668997234,18.1353582502282,18.32,14.92,16.9,16.9,NA,16.04,17.25,17.14,17.66,NA,NA
2013-08-01,11.7827031913065,15.2499277853602,18.8267589805214,18.03,14.79,17.12,17.12,NA,15.49,16.73,16.74,17.29,NA,NA
2013-09-01,8.87274951857074,12.2272963144404,15.6418754680729,13.68,11.08,12.54,12.54,NA,12.37,12.54,12.68,13.05,NA,NA
2013-10-01,5.26290283707598,7.19571230920939,9.27381973639573,8.98,7.4,8.47,8.16,NA,7.86,8.01,8.81,8.44,6.44,NA
2013-11-01,-1.37516776808633,0.763079192022706,2.72238329690096,NA,1.97,0.89,1.6,NA,4.06,3.22,NA,1.82,1.56,NA
2013-12-01,-3.59269259464199,-1.24590306179646,0.817296157598001,NA,0.08,-1.43,-0.38,NA,1.92,1.11,NA,-0.28,-0.22,NA
2014-01-01,-0.86195629827105,1.39091166645919,3.78743166642626,NA,0.16,-0.21,-0.17,NA,1.44,0.83,NA,0.14,-0.06,NA
2014-02-01,-5.90217382057686,-3.33159461337575,-1.12504797757355,NA,-0.75,-2.8,-2.33,NA,0.97,0.48,NA,-1.79,-2.06,NA
2014-03-01,-2.44057452860071,-0.452523416677024,1.45310390966859,NA,-0.12,-0.42,-0.57,NA,0.48,0.24,NA,-0.99,-0.13,NA
2014-04-01,-0.662518693237874,1.77660328961974,4.35388461680283,NA,0.11,3.37,0.78,NA,0.78,0.97,NA,1.88,-0.03,NA
2014-05-01,8.71237147352221,10.9676272875004,13.0747656768861,NA,8.82,13.69,14.91,NA,9.63,11.3,NA,15.82,12.12,NA
2014-06-01,10.2337230533642,12.4721836882449,14.5082884893043,NA,12.69,14.37,14.95,NA,13.46,14.9,NA,15.66,13.45,NA
2014-07-01,10.9293148817923,14.343571022029,17.8652914794834,NA,15.14,15.71,NA,NA,15.6,16.88,NA,NA,NA,NA
2014-08-01,10.9059917080612,14.3223363188495,17.8014729579196,NA,13.51,13.61,NA,NA,14.64,15.58,NA,NA,NA,NA
2014-09-01,8.81263285633236,12.1829977003912,15.6122155423834,NA,12.09,10.97,NA,11.36,13.19,13.93,11.23,11.43,NA,NA
2014-10-01,3.11761080130793,6.3884515949325,9.62570914384437,NA,NA,5.9,NA,6.59,NA,NA,7.09,7.43,NA,NA
2014-11-01,-1.64311124696989,1.65546954331845,5.00687430441114,NA,NA,4.55,NA,3.44,NA,NA,4.77,5.28,NA,NA
