,community,region,country,latitude,longitude,type,scenario,resolution,unit,date,month,d2010-19,max2010-19,min2010-19,d2020-29,max2020-29,min2020-29,d2030-39,max2030-39,min2030-39,d2040-49,max2040-49,min2040-49,d2050-59,max2050-59,min2050-59,d2060-69,max2060-69,min2060-69,d2070-79,max2070-79,min2070-79,d2080-89,max2080-89,min2080-89,d2090-99,max2090-99,min2090-99
13,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,C,2000-01-01,J,0.3,7,-6.2,1.7,6.2,-6.4,1.8,7,-3.6,2.8,8.1,-3.8,2.3,8.6,-6.5,2.8,8.6,-7.4,3.2,8.9,-3.4,3.1,8,-4.2,3,8.4,-2.1
14,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,C,2000-02-01,F,1.6,7.1,-2.9,2.1,7.6,-3.4,2.6,7.3,-3.2,3.1,7.6,-4.7,2.7,9.2,-4,2.9,8.8,-3.4,3.2,8.1,-2.2,3,7.8,-2.3,3.7,9.5,-4.8
15,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,C,2000-03-01,M,1.5,6.3,-2.9,1.6,5.5,-2.9,2.2,6.8,-3.1,2.7,6.9,-2.9,2.5,7.3,-2.6,2.9,8.2,-2.8,3.2,9.1,-1.9,2.4,6.9,-2.6,3.5,8.4,-0.8
16,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,C,2000-04-01,A,1.2,4.8,-2,1.4,5,-2.5,1.8,5.8,-1.8,2,5.9,-1.9,2.4,6.9,-1.5,2.7,6.8,-0.5,2.5,6.9,-1.7,3,6.6,-1,3,6.3,0.3
17,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,C,2000-05-01,M,0.9,4.8,-1.7,1,3.8,-1.6,1.5,4.6,-0.9,1.9,4.6,-0.7,2.2,6.5,-0.8,2.6,5.6,0.1,2.2,5.5,-1,2.3,4.8,-0.6,2.7,5.7,0
18,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,C,2000-06-01,J,1.2,4.5,-2.5,1.6,5.1,-1.7,2,7.7,-0.9,2.5,6.3,-1,2.4,7.6,-1.6,2.8,7.1,-1.1,3,7.9,-1.4,3.2,7.8,0.2,3.4,7,0.2
19,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,C,2000-07-01,J,1.3,6.4,-1.9,1.5,4.9,-2.2,1.9,5.4,-1.4,2.4,5.5,-0.3,2.5,6.3,0.1,2.9,6.3,0.5,2.8,6.5,0.3,2.9,6.1,0.3,3.4,6.7,0.4
20,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,C,2000-08-01,A,1.1,3.8,-0.9,1.4,5.1,-1.5,1.7,6.1,-1.2,2.1,4.9,-0.7,2.1,5.3,0,2.2,4.9,0.1,2.7,5.6,0.4,2.4,4.8,0.1,2.8,6.4,0
21,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,C,2000-09-01,S,1.2,3.8,-1.7,1.3,4.2,-1.2,1.7,4,-0.5,2.1,4.3,-0.3,2.2,5.2,-0.8,2.4,5.3,0.1,2.8,5.9,0.4,2.6,6.4,0.6,2.6,5.4,-1
22,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,C,2000-10-01,O,0.8,5.2,-2.9,1.2,4.3,-2.7,1.7,4.6,-2.2,2.2,6.2,-2.3,2.3,4.5,-2.7,2.3,4.6,-1.2,2.9,7.4,0,2.6,4.5,-0.3,2.8,6.3,-1.1
23,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,C,2000-11-01,N,0.8,6.5,-4.6,0.2,6.3,-5.8,1.2,6.3,-4.1,1.4,6,-4.1,2,5.1,-1.7,2.3,6,-3.5,2.6,6.7,-2.1,2.7,6.3,-3.1,2.8,6.8,-3.7
24,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,C,2000-12-01,D,0.5,4.8,-4.9,0.6,5.4,-5.7,1.9,6.5,-4.6,1.5,6,-5.2,2.6,7.2,-2.9,2.3,7.2,-3.4,2.7,8.4,-2.2,2.1,7.4,-2.9,2.9,7.8,-3.6
