"date","2.5%","50%","97.5%","MP1","MP3","PL3","PL2","UBP3","MP5","MP8","UBP1","UBP2","PL1","UBP4"
2012-01-01,7.29972943875276,7.49598131153224,7.69272112418649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-02-01,-2.09477736366738,4.66402323532989,10.9222009525665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-01,-4.95606978766235,2.51701928314932,9.53302080274818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-04-01,-2.58734067805749,4.24538467028052,10.8758678945912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-01,0.733586583803756,6.0934079116037,11.3789810478169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-01,3.47590458923958,9.07355141278533,14.7508118359895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-01,6.92587511563411,11.6307553878981,16.4468285617502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-08-01,13.114970143425,14.9249713040796,16.39909736048,16.16,12.59,15.72,15.72,15.46,NA,NA,15.21,15.26,NA,NA
2012-09-01,9.52088958161535,11.0495568635194,12.6008413658785,11.88,9.25,11.17,11.17,11.01,9.62,9.61,10.98,11.05,NA,NA
2012-10-01,3.47215619844073,5.03130839475454,6.66155584006518,6.62,5.85,4.33,4.33,5.6,5.82,6.19,4.97,5.43,NA,NA
2012-11-01,-1.29391707137148,0.207606341721156,1.9344831990274,0.9,2.38,-0.7,-0.7,-1.17,2.02,2.07,0.02,0.07,NA,NA
2012-12-01,-2.13627650377498,-0.539276422418937,1.02707997077858,0.16,0.85,-1.58,-1.58,-3.16,0.55,0.73,-0.51,-0.19,NA,NA
2013-01-01,-1.59445160683049,-0.01519183727594,1.56117979067096,0.12,0.65,-0.4,-0.4,-0.54,0.43,0.52,0.02,0.21,NA,NA
2013-02-01,-0.990388262771263,0.408718205896366,2.06715526147604,0.21,0.61,-0.27,-0.27,0.16,0.38,0.36,0.13,0.15,NA,NA
2013-03-01,-1.4153401717331,0.130829348690131,1.72691200676655,0.23,0.25,-1.09,-1.09,-1,0.23,0.29,0.13,0.22,NA,NA
2013-04-01,-1.13116862839863,0.319898356674638,1.99520553123858,0.23,0.23,-0.14,-0.14,0.31,0.26,0.28,0.12,0.23,NA,NA
2013-05-01,5.84790386031758,7.45532218011567,9.01920683517348,2.71,1.65,5.72,5.72,8.86,3.07,2.19,7.5,5.85,NA,NA
2013-06-01,15.8341446317697,17.7136601192973,19.1942793641139,17.4,13.65,17.66,17.66,17.46,15.68,16.15,18.02,18.62,NA,NA
2013-07-01,15.3656687624958,17.029484548083,18.511780160371,18.32,14.92,16.9,16.9,NA,16.04,17.25,17.14,17.66,NA,NA
2013-08-01,14.8468136354747,16.5356046692189,17.9726711469267,18.03,14.79,17.12,17.12,NA,15.49,16.73,16.74,17.29,NA,NA
2013-09-01,11.2039218488017,12.7245047375731,14.2618406084807,13.68,11.08,12.54,12.54,NA,12.37,12.54,12.68,13.05,NA,NA
2013-10-01,7.425851928529,8.93047790424627,10.5565347668464,8.98,7.4,8.47,8.16,NA,7.86,8.01,8.81,8.44,6.44,NA
2013-11-01,-1.79967946032968,4.60320254101977,10.7962059037339,NA,1.97,0.89,1.6,NA,4.06,3.22,NA,1.82,1.56,NA
2013-12-01,-5.20353898840989,1.81196691440508,8.40082090375713,NA,0.08,-1.43,-0.38,NA,1.92,1.11,NA,-0.28,-0.22,NA
2014-01-01,-2.59476526861344,3.27444534376359,8.84454299795253,NA,0.16,-0.21,-0.17,NA,1.44,0.83,NA,0.14,-0.06,NA
2014-02-01,-8.57675076454349,0.0479377305452646,8.25278145986059,NA,-0.75,-2.8,-2.33,NA,0.97,0.48,NA,-1.79,-2.06,NA
2014-03-01,-7.17115187593816,0.786012560935293,8.49653886682292,NA,-0.12,-0.42,-0.57,NA,0.48,0.24,NA,-0.99,-0.13,NA
2014-04-01,-3.9767887078772,3.15238792341241,10.0133712003626,NA,0.11,3.37,0.78,NA,0.78,0.97,NA,1.88,-0.03,NA
2014-05-01,-0.711895721183097,7.02596746875928,14.7529884094855,NA,8.82,13.69,14.91,NA,9.63,11.3,NA,15.82,12.12,NA
2014-06-01,2.93167915631308,9.32741656489648,15.6494215472368,NA,12.69,14.37,14.95,NA,13.46,14.9,NA,15.66,13.45,NA
2014-07-01,6.06981673023507,11.6056285613096,17.3453490595321,NA,15.14,15.71,NA,NA,15.6,16.88,NA,NA,NA,NA
2014-08-01,7.97908639845924,12.4257060560374,17.2387817619249,NA,13.51,13.61,NA,NA,14.64,15.58,NA,NA,NA,NA
2014-09-01,9.66744674986547,11.2312049354022,12.8266075933225,NA,12.09,10.97,NA,11.36,13.19,13.93,11.23,11.43,NA,NA
2014-10-01,5.72519575523133,7.21994415979463,8.85863401846628,NA,NA,5.9,NA,6.59,NA,NA,7.09,7.43,NA,NA
2014-11-01,3.21915061946763,4.77149128752586,6.34360041492839,NA,NA,4.55,NA,3.44,NA,NA,4.77,5.28,NA,NA
2014-12-01,1.92009958987294,3.50970908138594,5.08923065154209,NA,NA,3.44,NA,1.96,NA,NA,3.51,3.4,NA,NA
2015-01-01,1.50042615291301,3.04524532610654,4.66153277928372,NA,NA,2.77,NA,2.34,NA,NA,2.97,2.58,NA,NA
2015-02-01,2.11326297527425,3.71539816030968,5.28515119886961,NA,NA,3.23,NA,3.03,NA,NA,3.74,2.9,NA,NA
2015-03-01,3.30468672821623,4.93636214981508,6.53329297653398,NA,NA,4.6,NA,4.53,NA,NA,4.93,4.52,NA,NA
2015-04-01,5.27496873162238,6.88245281021421,8.41239975537179,NA,NA,6.05,NA,8.11,NA,NA,6.94,6.99,NA,NA
2015-05-01,9.48490801221713,11.1815829053206,12.7094073392555,NA,NA,13.7,NA,15.56,NA,NA,11.33,12.28,NA,NA
2015-06-01,11.4932642521904,13.1395475526137,14.7138465398624,NA,NA,9.53,NA,14.71,NA,16.04,13.2,13.57,17.04,NA
2015-07-01,8.21889643534499,13.6169208801239,19.3300459254568,NA,NA,NA,NA,NA,NA,17.14,NA,NA,16.63,NA
2015-08-01,8.16884716571094,13.5785807597813,19.2560011663626,NA,NA,NA,NA,NA,NA,16.12,NA,NA,15.9,NA
2015-09-01,5.55498010979296,11.3675991262054,17.2773997610224,9.74,NA,NA,NA,NA,NA,10.88,NA,9.39,10.51,11.04
2015-10-01,4.0421818104387,9.47952870267179,14.9157650987931,8.07,NA,NA,NA,NA,NA,7.26,NA,7.61,6.67,8.68
2015-11-01,-0.524023885655212,5.92503111317496,12.2066059264191,2.28,NA,NA,NA,NA,NA,4.06,NA,1.18,1.27,NA
2015-12-01,-2.6467814953524,3.72768555299807,9.8090279260544,-0.03,NA,NA,NA,NA,NA,2.1,NA,-0.36,-0.2,NA
2016-01-01,-2.17851436500917,3.93458327847228,9.81949772230951,-0.16,NA,NA,NA,NA,NA,1.4,NA,-0.23,-0.51,NA
2016-02-01,-1.62834205710326,4.42429255061133,10.1481015260681,0.19,NA,NA,NA,NA,NA,1.42,NA,0.38,-0.21,NA
2016-03-01,-1.42975977633482,5.12412943244535,11.5987169204643,1.25,NA,NA,NA,NA,NA,2.45,NA,4.94,2.75,NA
2016-04-01,0.0822598989488681,6.46354387453703,12.8194425866083,7.42,NA,NA,NA,NA,NA,5.74,NA,10.44,8.49,NA
2016-05-01,1.65774714456318,8.85308217679327,16.224149645853,NA,NA,NA,NA,NA,NA,NA,NA,10.83,12.67,NA
2016-06-01,3.95737987931235,11.2083769668993,18.6914616269176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-07-01,7.38410762623069,13.2520501658106,19.4881297933047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-08-01,7.89613188227037,14.2268984212417,21.0029549436784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-09-01,5.58894030664462,12.306402514689,19.4300530221713,NA,NA,NA,NA,NA,NA,NA,NA,9.7,NA,NA
2016-10-01,2.48039684984105,8.8894080567993,15.4239105739162,5.86,NA,NA,NA,NA,4.62,NA,NA,6.09,NA,NA
2016-11-01,-0.6517200544958,6.34890748603173,13.2660723260131,4.18,NA,NA,NA,NA,4.06,NA,NA,5.2,NA,NA
2016-12-01,-4.95443529537965,2.85014882792051,10.2581466004039,2.92,NA,NA,NA,NA,2.09,NA,NA,3.39,NA,NA
2017-01-01,-6.62569800827135,1.19288041537502,8.40598609662221,1.37,NA,NA,NA,NA,0.96,NA,NA,1.81,NA,NA
2017-02-01,-5.74415715953527,1.08431553859722,7.33994815026553,0.7,NA,NA,NA,NA,0.64,NA,NA,1.31,NA,NA
2017-03-01,-8.42625534586731,0.0551558531965605,7.81019532581444,0.39,NA,NA,NA,NA,0.35,NA,NA,0.61,NA,NA
2017-04-01,-3.42941422221461,4.10389304876275,11.2974996677807,1.91,NA,NA,NA,NA,0.67,NA,NA,3.2,NA,NA
2017-05-01,-0.0721353983358669,6.87640762518921,13.6760094700772,9.33,NA,NA,NA,NA,7.55,NA,NA,8.07,NA,NA
2017-06-01,3.23782597223734,9.92220060453031,16.7924636278137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-07-01,6.28664203823192,12.2804321291893,18.7397465036689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-08-01,7.92212925132968,13.0953287832454,18.6168671741095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
