"","Month","Decade","mean_diff_AvgTemp","sd_diff_AvgTemp"
"1",1,"2090s",1.38278467678628,1.03508697664724
"2",2,"2090s",1.06179587401952,1.14595977658148
"3",3,"2090s",1.59024942061652,0.981080045770821
"4",4,"2090s",1.83302778027347,1.19564075719222
"5",5,"2090s",1.97655591832971,1.5177072177205
"6",6,"2090s",2.41192816539036,1.96323543315687
"7",7,"2090s",2.60284572957115,2.08012947882314
"8",8,"2090s",2.63654414249903,1.91956628952959
"9",9,"2090s",2.34036319264605,1.51449070072288
"10",10,"2090s",2.08407826167413,1.01369239492748
"11",11,"2090s",1.86110504028195,0.934417046582935
"12",12,"2090s",1.77238794497668,1.10415627468786
