"date","2.5%","50%","97.5%","BVS","CAB","TIN","SQR","CAN","EYS","TIS","WDD","RHM"
2012-01-01,-2.66826971917017,0.0410340562280647,2.65207939926287,NA,-0.38,0.07,0.53,NA,NA,0.32,NA,NA
2012-02-01,-1.18099896839356,1.09918981032925,3.9083267952079,NA,0.05,-0.06,0.18,NA,NA,0.3,NA,NA
2012-03-01,-2.23334083976992,-0.0266820280220501,2.18178298642459,NA,-0.33,0,0.04,NA,NA,0.33,NA,NA
2012-04-01,-0.674001034376471,2.29954191901492,6.10870381597305,NA,0.26,-0.02,1.19,NA,NA,0.32,NA,NA
2012-05-01,4.82706456273355,7.13956373053409,9.84316589733611,NA,1.76,5.96,8.08,NA,NA,6.21,NA,NA
2012-06-01,11.0632535051009,13.8387278908714,16.1002955029858,NA,9.59,14.89,14.48,NA,NA,14.45,NA,NA
2012-07-01,11.5518029508205,13.8552012385451,16.0304115510581,9.47,12.51,14.08,13.93,NA,NA,14.13,NA,10.04
2012-08-01,12.0578350655336,14.4029294399377,16.5624809459752,10.1,13.15,14.67,14.36,NA,15.43,14.51,NA,9.75
2012-09-01,8.62219427927901,10.7437855271548,13.2149265513627,8.78,8.89,10.08,10.03,NA,9.97,9.78,NA,8.72
2012-10-01,2.88800074318943,5.2566108127846,7.40210763918404,6.28,4.4,5.97,5.62,NA,5.62,6.04,NA,6.46
2012-11-01,-2.17018511440683,1.27981868359531,3.95751003745441,4.34,0.71,3.14,3.49,NA,1.62,3.24,NA,3.14
2012-12-01,-3.00891801216002,0.094934326496677,2.47569997170035,3,0.02,1.43,2.16,NA,0.25,1.65,NA,1.1
2013-01-01,-0.458215437207015,1.64978369626394,4.04311469119074,2.12,0.04,1.1,1.86,NA,0.48,1.39,NA,0.37
2013-02-01,-0.0269451237062204,2.39297588856242,5.2922592559757,2.06,0.16,1.01,2.35,NA,0.44,1.37,NA,0.23
2013-03-01,-1.31098126076674,0.80346750502142,3.17377565474679,1.55,0.11,0.26,3.66,NA,0.14,1.15,NA,0.17
2013-04-01,-1.00947493405443,1.20858919717398,3.9078934538578,1.02,0.22,0.2,4.37,NA,0.13,0.94,NA,0.35
2013-05-01,6.49005373915397,8.53617309988207,10.7386384289421,1.01,2.89,8.27,9.47,NA,6.87,9.32,NA,7.12
2013-06-01,13.6509985456578,16.7261443706469,19.0350389649654,6.52,15.09,17.91,17.95,NA,17.93,18.29,NA,15.5
2013-07-01,13.7007056197722,16.0590441136548,18.2375300724424,11,15.65,16.33,16.37,NA,NA,18.13,NA,13.64
2013-08-01,12.9537997580481,15.2196776403023,17.4568767547551,12.11,14.4,15.21,15.42,NA,15.04,15.72,NA,12.35
2013-09-01,9.87079127820959,12.0265743655097,14.4479250328836,9.03,10.21,11.54,11.68,NA,12.01,11.58,NA,10.21
2013-10-01,5.99099114625967,8.24329105769481,10.8280983834155,7.51,6.54,7.29,7.61,NA,7.89,7.05,NA,7.1
2013-11-01,0.207510955341923,2.94437335856927,5.23019458659407,5.74,2.13,4.05,4.73,NA,5.09,-0.62,NA,2.74
2013-12-01,-2.48357752172233,0.297846122350658,2.55978018634484,3.94,0.14,1.3,2.98,NA,2.66,-1.89,NA,0.63
2014-01-01,0.154891384065572,2.78799377849864,6.07341668312721,2.56,0.51,1,2.29,NA,1.82,0.62,NA,0.67
2014-02-01,-3.59605324324899,-0.840292320953917,1.3745326096742,2.02,0.05,0.03,3.26,NA,1.81,-0.23,NA,0.48
2014-03-01,-1.14961797095841,1.02912572954915,3.48232902941293,1.63,0.02,0.36,2.39,NA,0.33,-0.74,NA,0.21
2014-04-01,3.50488126545878,5.61614197385469,7.76395368367913,1.5,1.21,5.55,5.62,NA,3.55,5.06,NA,4.47
2014-05-01,10.9144538851511,14.1088145450125,16.5854743794942,8.46,10.57,15.64,14.38,NA,15.39,14.26,NA,13.52
2014-06-01,11.3253936679992,14.3018437178558,16.6620034842843,10.87,12.95,15.6,15.17,NA,15.86,16.42,NA,13.41
2014-07-01,11.0028438270794,15.2633564012586,19.5824349395362,12.87,15.04,NA,16.8,NA,NA,18.04,NA,15.45
2014-08-01,10.6982666640053,15.0002030596776,19.339303118713,NA,13.22,NA,16.93,NA,NA,17.16,NA,12.91
2014-09-01,8.91457594074093,13.0229143189997,17.2533298519206,NA,10.68,NA,NA,NA,NA,NA,NA,10.26
2014-10-01,3.12373203431809,7.25034899921548,11.3100965659788,NA,5.14,NA,NA,NA,NA,NA,NA,5.73
2014-11-01,0.545018139214473,4.63835556204912,8.65193423246739,NA,2.5,NA,NA,NA,NA,NA,NA,3.92
2014-12-01,0.24103971601008,4.37815115602584,8.43884010005593,NA,1.21,NA,NA,NA,NA,NA,NA,2.3
2015-01-01,-2.22299257293486,1.93585833489831,6.07688909642809,NA,0.67,NA,NA,NA,NA,NA,NA,1.57
2015-02-01,-1.12535038083786,3.04981359692936,7.12238057083292,NA,0.57,NA,NA,NA,NA,NA,NA,2.07
2015-03-01,-0.714061752524872,3.48161023312282,7.58372852772987,NA,1.32,NA,NA,NA,NA,NA,NA,3.96
2015-04-01,2.49918314012769,6.52593994540711,10.5464900414117,NA,4.4,NA,NA,NA,NA,NA,NA,6.04
2015-05-01,7.39407570057474,11.5849941448238,15.6984837898783,NA,12.48,NA,NA,NA,NA,14.42,NA,13.52
2015-06-01,9.92132675571717,14.135023611313,18.4661638842214,NA,14.45,NA,NA,17.05,NA,15.77,16.21,13.28
2015-07-01,11.3713610746979,15.6949008689569,20.0414717831112,NA,16,NA,NA,19.05,NA,17.31,17.48,13.99
2015-08-01,11.0616596320254,15.3546121698456,19.6073156134785,NA,15.77,NA,NA,18.08,NA,16.29,17.38,13.4
