"date","2.5%","50%","97.5%","std","precision","BVS","CAB","TIN","SQR","CAN","EYS","TIS","WDD","RHM"
2012-01-01,-1.64211769791666,0.258105436936365,2.12526690917328,7.075,0.0199777747256178,NA,-0.38,0.07,0.53,NA,NA,0.32,NA,NA
2012-02-01,-1.31331318276735,0.440075143282879,2.45603540710457,5.7,0.0307787011388119,NA,0.05,-0.06,0.18,NA,NA,0.3,NA,NA
2012-03-01,-1.47473187262236,0.375943976757645,2.27399072024279,6.525,0.0234876176215851,NA,-0.33,0,0.04,NA,NA,0.33,NA,NA
2012-04-01,-1.20509795394487,0.520361755879355,2.61823700767592,5.7,0.0307787011388119,NA,0.26,-0.02,1.19,NA,NA,0.32,NA,NA
2012-05-01,4.54878044922568,6.31650225013167,8.25362444062995,4.725,0.0447915791831136,NA,1.76,5.96,8.08,NA,NA,6.21,NA,NA
2012-06-01,12.2769180793628,14.3289424355166,16.0866566291742,5.85,0.0292205420410549,NA,9.59,14.89,14.48,NA,NA,14.45,NA,NA
2012-07-01,12.0757277823872,14.007714083854,15.7278624939791,3.75,0.0711111111111111,9.47,12.51,14.08,13.93,NA,NA,14.13,NA,10.04
2012-08-01,12.4975540419578,14.3993975110113,16.1261128033734,4.575,0.047776881961241,10.1,13.15,14.67,14.36,NA,15.43,14.51,NA,9.75
2012-09-01,8.03600800251223,9.8226892522015,11.6916578263173,4.85,0.0425124880433627,8.78,8.89,10.08,10.03,NA,9.97,9.78,NA,8.72
2012-10-01,4.12462493179828,6.00981734087539,7.87245963867224,6.25,0.0256,6.28,4.4,5.97,5.62,NA,5.62,6.04,NA,6.46
2012-11-01,1.27191976341822,3.18253650455663,4.98546767416048,6.525,0.0234876176215851,4.34,0.71,3.14,3.49,NA,1.62,3.24,NA,3.14
2012-12-01,-0.245670887075956,1.62155017620381,3.45625485055279,6.8,0.0216262975778547,3,0.02,1.43,2.16,NA,0.25,1.65,NA,1.1
2013-01-01,-0.430145070811086,1.41965444652264,3.3092361025231,7.625,0.0171996775060468,2.12,0.04,1.1,1.86,NA,0.48,1.39,NA,0.37
2013-02-01,0.141062161810267,1.71069696784388,3.74715979066502,3.325,0.090451693142631,2.06,0.16,1.01,2.35,NA,0.44,1.37,NA,0.23
2013-03-01,-0.566053853944959,1.22993295212104,3.13757936218916,5.425,0.0339782114718937,1.55,0.11,0.26,3.66,NA,0.14,1.15,NA,0.17
2013-04-01,-0.677009067517948,1.07843107715947,3.07517980938687,5.1,0.0384467512495194,1.02,0.22,0.2,4.37,NA,0.13,0.94,NA,0.35
2013-05-01,7.44347829068566,9.29448563741561,11.1599312028379,6.9,0.0210039907582441,1.01,2.89,8.27,9.47,NA,6.87,9.32,NA,7.12
2013-06-01,16.1485223497902,18.1731121013973,19.9888216985304,7.5,0.0177777777777778,6.52,15.09,17.91,17.95,NA,17.93,18.29,NA,15.5
2013-07-01,15.8839977363996,17.9109405136926,19.6374540549822,4.45,0.0504986744097967,11,15.65,16.33,16.37,NA,NA,18.13,NA,13.64
2013-08-01,13.6078692494713,15.580681566118,17.307847610656,4.45,0.0504986744097967,12.11,14.4,15.21,15.42,NA,15.04,15.72,NA,12.35
2013-09-01,9.73532164249616,11.574127160606,13.3864326896756,4.425,0.0510708927830445,9.03,10.21,11.54,11.68,NA,12.01,11.58,NA,10.21
2013-10-01,5.4342157378822,7.16678036526779,9.13763307322976,4.275,0.0547176909134434,7.51,6.54,7.29,7.61,NA,7.89,7.05,NA,7.1
2013-11-01,-2.33502199998191,-0.535496685006398,1.49149103982105,6.9,0.0210039907582441,5.74,2.13,4.05,4.73,NA,5.09,-0.62,NA,2.74
2013-12-01,-3.66298916939094,-1.83819194745947,0.116686124967367,7.2,0.0192901234567901,3.94,0.14,1.3,2.98,NA,2.66,-1.89,NA,0.63
2014-01-01,-0.869170500563919,0.798077317953454,2.79682685023876,5.8,0.0297265160523187,2.56,0.51,1,2.29,NA,1.82,0.62,NA,0.67
