"","Month-Year","Airport","Air_MonthAvg","Air_MonthMax","Air_MonthMin","Region","MP1","MP3","PL3","PL2","UBP3","MP5","MP8","UBP1","UBP2","PL1","UBP4"
"1","01-2013","YAKUTAT AIRPORT",-0.31,5.6,-14.4,"YF",-0.55,0.45,-3.12,-3.12,-8.45,0.23,0.45,-1.23,0.01,NA,NA
"2","01-2014","YAKUTAT AIRPORT",2.27,10,-6.6,"YF",NA,0.12,-6.75,-4.88,NA,1.11,0.34,NA,-3.32,-3.55,NA
"3","01-2015","YAKUTAT AIRPORT",1.86,8.3,-11.6,"YF",NA,NA,1.87,NA,1.11,NA,NA,2.09,2.3,NA,NA
"4","01-2016","YAKUTAT AIRPORT",2.02,9.4,-8.8,"YF",-2.61,NA,NA,NA,NA,NA,1.22,NA,-5.87,-4.41,NA
"5","01-2017","YAKUTAT AIRPORT",-2.33,7.2,-16,"YF",0.63,NA,NA,NA,NA,0.55,NA,NA,0.99,NA,NA
"6","01-2019","YAKUTAT AIRPORT",-2,8.3,-16.6,"YF",0.82,2.26,0.88,-2.39,2.69,NA,0.25,0.05,1.51,0.14,0.85
"7","02-2013","YAKUTAT AIRPORT",1.44,6.1,-5.6,"YF",0.12,0.34,-11.94,-11.94,-7.14,0.23,0.23,-0.1,-2.96,NA,NA
"8","02-2014","YAKUTAT AIRPORT",-4.65,8.9,-19.3,"YF",NA,-4.51,-14.49,-10.35,NA,0.56,0.23,NA,-8.58,-8.58,NA
"9","02-2015","YAKUTAT AIRPORT",0.85,8.3,-12.1,"YF",NA,NA,2.09,NA,0.56,NA,NA,2.62,2.19,NA,NA
"10","02-2016","YAKUTAT AIRPORT",2.87,8.9,-8.8,"YF",-1.23,NA,NA,NA,NA,NA,1.22,NA,-3.91,-4.29,NA
"11","02-2017","YAKUTAT AIRPORT",-1.28,7.8,-11.6,"YF",0.52,NA,NA,NA,NA,0.38,NA,NA,0.96,NA,NA
"12","02-2019","YAKUTAT AIRPORT",-1.78,8.3,-13.2,"YF",0.5,1.97,0.16,-3.27,2.1,NA,-0.84,-0.9,0.25,0.36,2.58
"13","03-2013","YAKUTAT AIRPORT",-1.7,5.6,-13.3,"YF",0.12,0.12,-7.03,-7.03,-13.11,0.12,0.23,0.12,0.12,NA,NA
"14","03-2014","YAKUTAT AIRPORT",-1.1,8.3,-16.6,"YF",NA,-2.73,-11.78,-4.88,NA,0.34,0.23,NA,-10.49,-1.34,NA
"15","03-2015","YAKUTAT AIRPORT",1.67,11.7,-15.5,"YF",NA,NA,3.89,NA,1.11,NA,NA,4,3.68,NA,NA
"16","03-2016","YAKUTAT AIRPORT",3.89,13.9,-6.6,"YF",-0.44,NA,NA,NA,NA,NA,1.66,NA,-5.62,-2.25,NA
"17","03-2017","YAKUTAT AIRPORT",-3.15,7.2,-19.3,"YF",0.3,NA,NA,NA,NA,0.3,NA,NA,-0.03,NA,NA
"18","03-2019","YAKUTAT AIRPORT",3.65,15.6,-10.5,"YF",0.33,1.43,0.19,-2.54,-0.03,NA,-0.2,-0.9,0.08,0.02,0.55
"19","04-2013","YAKUTAT AIRPORT",0.31,6.1,-11,"YF",0.23,0.12,-5.2,-5.2,-7.4,0.12,0.23,0.12,0.12,NA,NA
"20","04-2014","YAKUTAT AIRPORT",2.92,13.3,-7.7,"YF",NA,-2.38,-16.26,0.01,NA,0.34,0.23,NA,-6,-0.77,NA
"21","04-2015","YAKUTAT AIRPORT",3.9,13.9,-4.3,"YF",NA,NA,4.1,NA,2.3,NA,NA,5.35,5.66,NA,NA
"22","04-2016","YAKUTAT AIRPORT",5.86,17.8,-2.1,"YF",5.86,NA,NA,NA,NA,NA,4.31,NA,5.45,5.46,NA
"23","04-2017","YAKUTAT AIRPORT",5.25,17.2,-5.5,"YF",0.38,NA,NA,NA,NA,0.25,NA,NA,0.3,NA,NA
"24","04-2019","YAKUTAT AIRPORT",4.79,16.1,-3.2,"YF",2.74,1.72,2.53,3.35,5.41,NA,0.02,4.01,4.64,3.46,5.69
"25","05-2013","YAKUTAT AIRPORT",6.48,17.2,-2.7,"YF",0.23,0.23,-2.6,-2.6,-0.89,0.23,0.23,0.12,0.12,NA,NA
"26","05-2014","YAKUTAT AIRPORT",8.42,22.8,-2.1,"YF",NA,0.12,-2.49,5.45,NA,2.3,2.84,NA,9.28,0.01,NA
"27","05-2015","YAKUTAT AIRPORT",8.6,19.4,-2.1,"YF",NA,NA,5.04,NA,11.04,NA,NA,8.98,9.57,NA,NA
"28","05-2016","YAKUTAT AIRPORT",9.3,23.9,0,"YF",NA,NA,NA,NA,NA,NA,NA,NA,8.58,6.46,NA
